id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
fileid_684,-4.81,6.079,1.0484,0.4291,-7.7536,1.0484,0.4291,-7.7536,0.0,0.0,0.0
fileid_685,0.18,6.76,1.0922,0.6954,-1.3526,1.0922,0.6954,-1.3526,0.0,0.0,0.0
fileid_686,7.33,6.12,1.1913,0.8424,-1.9164,1.1913,0.8424,-1.9164,0.0,0.0,0.0
fileid_687,-4.3,7.521,1.1124,0.5615,-6.7323,1.1124,0.5615,-6.7323,0.0,0.0,0.0
fileid_688,15.99,7.88,2.493,0.9822,14.6592,2.493,0.9822,14.6592,0.0,0.0,0.0
fileid_689,13.45,6.64,1.5773,0.9199,6.1633,1.5773,0.9199,6.1633,0.0,0.0,0.0
fileid_690,2.31,6.081,1.3454,0.9042,0.9845,1.3454,0.9042,0.9845,0.0,0.0,0.0
fileid_691,-2.64,7.081,1.1561,0.8506,-3.745,1.1561,0.8506,-3.745,0.0,0.0,0.0
fileid_692,1.72,7.52,1.1508,0.689,-2.1169,1.1508,0.689,-2.1169,0.0,0.0,0.0
fileid_693,-2.32,7.439,1.2347,0.8362,-4.345,1.2347,0.8362,-4.345,0.0,0.0,0.0
fileid_694,16.26,6.8,1.5635,0.8453,3.6769,1.5635,0.8453,3.6769,0.0,0.0,0.0
fileid_695,7.53,5.01,1.6437,0.8896,5.5789,1.6437,0.8896,5.5789,0.0,0.0,0.0
fileid_696,8.53,8.0,1.1611,0.7633,-0.429,1.1611,0.7633,-0.429,0.0,0.0,0.0
fileid_697,12.05,6.48,1.1952,0.7743,1.3089,1.1952,0.7743,1.3089,0.0,0.0,0.0
fileid_698,10.87,8.0,1.3386,0.7816,3.5068,1.3386,0.7816,3.5068,0.0,0.0,0.0
fileid_699,15.57,11.04,1.3973,0.8856,6.5759,1.3973,0.8856,6.5759,0.0,0.0,0.0
fileid_700,4.5,9.9,1.1728,0.8968,3.2478,1.1728,0.8968,3.2478,0.0,0.0,0.0
fileid_701,1.53,7.619,1.2842,0.7953,-2.482,1.2842,0.7953,-2.482,0.0,0.0,0.0
fileid_702,13.73,6.899,3.5011,0.9994,12.0464,3.5011,0.9994,12.0464,0.0,0.0,0.0
fileid_703,8.31,8.341,1.5751,0.8995,4.9751,1.5751,0.8995,4.9751,0.0,0.0,0.0
fileid_704,-4.95,6.6,1.0493,0.5859,-9.0093,1.0493,0.5859,-9.0093,0.0,0.0,0.0
fileid_705,-0.71,6.96,1.1335,0.9292,-2.0143,1.1335,0.9292,-2.0143,0.0,0.0,0.0
fileid_706,9.08,6.0,1.2313,0.776,2.6288,1.2313,0.776,2.6288,0.0,0.0,0.0
fileid_707,11.5,8.399,1.0955,0.6336,-2.2315,1.0955,0.6336,-2.2315,0.0,0.0,0.0
fileid_708,13.99,8.44,1.3262,0.8674,3.6221,1.3262,0.8674,3.6221,0.0,0.0,0.0
fileid_709,16.99,7.62,2.2162,0.9929,16.185,2.2162,0.9929,16.185,0.0,0.0,0.0
fileid_710,8.99,7.14,1.0716,0.6569,0.9029,1.0716,0.6569,0.9029,0.0,0.0,0.0
fileid_711,-4.83,6.72,1.0837,0.7067,-7.0308,1.0837,0.7067,-7.0308,0.0,0.0,0.0
fileid_712,4.65,6.779,1.3913,0.8901,1.598,1.3913,0.8901,1.598,0.0,0.0,0.0
fileid_713,10.42,7.38,1.3159,0.9282,9.4824,1.3159,0.9282,9.4824,0.0,0.0,0.0
fileid_714,-1.75,6.13,1.0699,0.7818,-3.5872,1.0699,0.7818,-3.5872,0.0,0.0,0.0
fileid_715,2.11,10.079,1.0963,0.7148,-0.4493,1.0963,0.7148,-0.4493,0.0,0.0,0.0
fileid_716,3.45,8.46,1.1937,0.8522,2.5805,1.1937,0.8522,2.5805,0.0,0.0,0.0
fileid_717,-1.96,9.12,1.5097,0.974,-2.9349,1.5097,0.974,-2.9349,0.0,0.0,0.0
