id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
167,11.0,10.0,1.5746,0.885,11.003,1.1343,0.8217,4.6724,-0.4402999999999999,-0.06330000000000002,-6.3306000000000004
169,5.98,10.0,1.1369,0.8288,5.9837,1.0789,0.79,3.0897,-0.05800000000000005,-0.038799999999999946,-2.8939999999999997
38,11.99,10.0,1.791,0.956,11.9926,1.1195,0.8929,5.6215,-0.6715,-0.06309999999999993,-6.371099999999999
19,4.99,10.0,1.5963,0.9287,4.9907,1.1328,0.8694,4.3519,-0.4635,-0.05930000000000002,-0.6388000000000007
102,2.0,10.0,1.238,0.8961,2.0033,1.0992,0.8454,1.6862,-0.13880000000000003,-0.05069999999999997,-0.31709999999999994
76,4.97,10.0,1.253,0.8677,4.9745,1.0555,0.7848,2.9409,-0.1974999999999998,-0.08289999999999997,-2.0336
261,5.99,10.0,1.2723,0.8923,5.9916,1.1249,0.8531,3.5066,-0.14739999999999998,-0.03920000000000001,-2.485
214,5.0,10.0,1.7475,0.9772,4.9954,1.1538,0.8941,4.485,-0.5937000000000001,-0.08309999999999995,-0.5103999999999997
134,21.48,10.0,2.1005,0.944,21.4821,1.3335,0.88,7.0345,-0.7669999999999999,-0.06399999999999995,-14.447599999999998
77,7.99,10.0,1.4632,0.903,7.9884,1.169,0.8138,5.6876,-0.2942,-0.08920000000000006,-2.3008000000000006
300,1.94,10.0,1.122,0.8475,1.9391,1.0537,0.7866,1.957,-0.06830000000000003,-0.060900000000000065,0.017900000000000027
14,8.02,10.0,1.2954,0.9424,8.0221,1.1675,0.8905,6.2856,-0.12790000000000012,-0.05190000000000006,-1.7365000000000004
34,7.97,10.0,1.2828,0.9332,7.9702,1.1092,0.8695,3.1578,-0.17359999999999998,-0.06369999999999998,-4.8124
105,9.03,10.0,1.3266,0.854,9.0305,1.15,0.7846,4.6778,-0.1766000000000001,-0.06940000000000002,-4.3527
173,15.0,10.0,1.8221,0.9522,15.0006,1.1328,0.8837,4.9753,-0.6893,-0.0685,-10.025300000000001
37,18.0,10.0,2.2917,0.9929,18.0023,1.1619,0.9033,2.8275,-1.1298000000000001,-0.08960000000000001,-15.174800000000001
5,3.0,10.0,1.4102,0.9279,3.002,1.116,0.837,3.0896,-0.2941999999999998,-0.09089999999999998,0.08760000000000012
112,3.0,10.0,1.3487,0.9654,2.9979,1.1777,0.9042,5.7934,-0.17100000000000004,-0.06120000000000003,2.7955
