id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
synthetic_no_reverb_105,9.03,10.0,1.3266,0.854,9.0305,2.5758,0.9419,15.8156,1.2492,0.08789999999999998,6.7851
synthetic_no_reverb_173,15.0,10.0,1.8221,0.9522,15.0006,3.577,0.9746,23.8529,1.7549,0.022399999999999975,8.852300000000001
synthetic_no_reverb_37,18.0,10.0,2.2917,0.9929,18.0023,3.138,0.99,22.9445,0.8462999999999998,-0.0029000000000000137,4.9422
synthetic_no_reverb_5,3.0,10.0,1.4102,0.9279,3.002,1.7827,0.8772,12.7698,0.37250000000000005,-0.05069999999999997,9.767800000000001
synthetic_no_reverb_112,3.0,10.0,1.3487,0.9654,2.9979,4.1322,0.9917,21.99,2.7835,0.02629999999999999,18.992099999999997
synthetic_no_reverb_161,8.02,10.0,1.2617,0.8886,8.0216,2.1372,0.943,13.1825,0.8755,0.054400000000000004,5.1609
synthetic_no_reverb_221,5.02,10.0,1.4509,0.8395,5.0153,2.3941,0.9293,13.51,0.9431999999999998,0.08979999999999999,8.4947
synthetic_no_reverb_234,2.0,10.0,1.1464,0.7516,1.9995,1.7983,0.8775,13.3605,0.6518999999999999,0.1258999999999999,11.361
synthetic_no_reverb_54,19.0,10.0,1.6783,0.9713,19.0009,2.8276,0.9777,21.3786,1.1493,0.006399999999999961,2.3776999999999973
synthetic_no_reverb_253,5.02,10.0,1.1776,0.8553,5.0168,1.6055,0.8715,9.4973,0.42789999999999995,0.016200000000000103,4.480499999999999
synthetic_no_reverb_82,15.01,10.0,1.596,0.9384,15.0086,2.0721,0.9558,18.8326,0.47609999999999975,0.01739999999999997,3.824
synthetic_no_reverb_53,1.02,10.0,1.0598,0.6871,1.0152,1.2925,0.7119,8.3271,0.2326999999999999,0.024799999999999933,7.3119
synthetic_no_reverb_81,14.0,10.0,1.8167,0.9463,13.9993,3.2656,0.9793,22.4883,1.4489,0.03299999999999992,8.488999999999999
synthetic_no_reverb_218,19.0,10.0,2.6182,0.9823,18.9992,3.1006,0.9874,20.4933,0.48240000000000016,0.0051000000000001044,1.494100000000003
synthetic_no_reverb_206,13.01,10.0,1.4988,0.9398,13.0122,2.6736,0.9534,17.3047,1.1748,0.013600000000000056,4.2925
synthetic_no_reverb_89,5.0,10.0,1.7183,0.9374,5.0,2.7821,0.9588,13.1798,1.0637999999999999,0.021399999999999975,8.1798
synthetic_no_reverb_80,18.0,10.0,1.89,0.9793,17.9958,3.2416,0.9911,22.3414,1.3516000000000001,0.011800000000000033,4.345600000000001
synthetic_no_reverb_275,4.0,10.0,1.3016,0.8916,4.0028,1.8693,0.9247,11.684,0.5676999999999999,0.03310000000000002,7.6812
synthetic_no_reverb_48,12.0,10.0,1.331,0.9255,12.0003,2.8685,0.9545,17.5377,1.5375,0.029000000000000026,5.537400000000002
synthetic_no_reverb_210,9.08,10.0,1.3674,0.9574,9.0782,3.1793,0.9844,17.0264,1.8119,0.027000000000000024,7.948199999999998
synthetic_no_reverb_117,18.01,10.0,2.167,0.963,18.006,2.8909,0.9786,20.5534,0.7239,0.015600000000000058,2.5473999999999997
synthetic_no_reverb_9,18.0,10.0,2.5135,0.9844,17.9953,3.392,0.9857,19.7435,0.8784999999999998,0.0012999999999999678,1.7482000000000006
synthetic_no_reverb_228,11.03,10.0,2.1551,0.9729,11.0345,2.9309,0.9861,17.9435,0.7757999999999998,0.01319999999999999,6.909000000000001
synthetic_no_reverb_130,19.01,10.0,2.4739,0.9878,19.0053,3.5989,0.9925,24.8459,1.125,0.0047000000000000375,5.840600000000002
synthetic_no_reverb_43,8.03,10.0,1.1967,0.8393,8.0293,1.8123,0.8987,14.0154,0.6155999999999999,0.05940000000000001,5.9861
